strategy,annual_return_mean,annual_return_std,annual_vol_mean,annual_vol_std,cagr_mean,cagr_std,sharpe_mean,sharpe_std,sortino_mean,sortino_std,max_drawdown_mean,max_drawdown_std,calmar_mean,calmar_std,avg_turnover_mean,avg_turnover_std,crra_ce_annual_mean,crra_ce_annual_std
NarrativeRegimes,0.04273435788003727,0.013882339555534981,0.07766860202143462,0.010334180137895355,0.04049344537697179,0.014564892642614452,0.30238473344978173,0.1941220926680104,0.48448415482293433,0.3336630167377135,-0.22709489009865533,0.08415181001698899,0.2169805243595526,0.13323565850601007,0.07526982490630893,0.0394543731779435,0.027719956107199302,0.015652510510874757
NarrativeRegimesV2,0.04150578997877903,0.012678777153030554,0.06761067177612924,0.007781303156572412,0.03998409941452763,0.013151117369176754,0.3202744432867676,0.1913031315539072,0.5189383323261694,0.3349370161556205,-0.18651318632252303,0.06053047714660326,0.2468154188253139,0.13965675864072463,0.0366931326620474,0.011342552718269467,0.030369720374077487,0.013307147222810059
RegimeOnly,0.04262716391556241,0.014257682919280572,0.07598337433292825,0.010295055471572234,0.04052285962996446,0.015027313101918967,0.30883156899506203,0.2069146713500372,0.4970774006015602,0.3542579808974386,-0.22450305149725888,0.0904346416590046,0.22639524870706731,0.14615744157410962,0.057484759427600556,0.02752351633262141,0.02829846110977286,0.016370044911970177
EqualWeight,0.04592632782471851,0.02320057379517155,0.12367327065055127,0.008831255989585994,0.03914337223262069,0.024440106287093588,0.21448031105341453,0.18983093225795766,0.33127619035957695,0.2951983188319305,-0.41886490886226646,0.11484767674961759,0.11557813294536814,0.10228493614996162,0.02888448568376643,0.0010746216925743486,0.006644218402451796,0.026324843436234386
SixtyForty,0.04593470443993756,0.0221471844354959,0.11696986977024124,0.00776369416722915,0.03998760622118685,0.023332813348334747,0.22732237229493435,0.19341986584216703,0.3530041352176455,0.30366667170947137,-0.38713016931277616,0.10710422718947804,0.12571949568905802,0.09696705117205376,0.02658750228023881,0.00119165817623003,0.011045563743372174,0.025108948048737104
RiskParity,0.04274698108127024,0.015111986373450638,0.08320317953625904,0.005187275172642452,0.040097391521180574,0.015775823104955053,0.2772433601988439,0.18711908140308597,0.4316194570089397,0.299183583096317,-0.2607940566615901,0.0699204341681893,0.1771731911467564,0.10736233968635299,0.03242139411486959,0.001180445307901931,0.02557581261789555,0.016313834947566844
RollingMV,0.04290928191257336,0.016736969151806752,0.09395158655518432,0.008522238522034275,0.039276834063056106,0.017304998117044536,0.24494277488871008,0.1746051902053985,0.37240225112838166,0.2708368118429015,-0.30766270892748615,0.07777721163676396,0.14227760126770506,0.08225877105376406,0.25843930748881105,0.03762249855307904,0.02064438393027825,0.01746230072204881
MomentMix,0.04224905105175844,0.013834446643132908,0.07601407158768426,0.00994199979489574,0.04012499740280825,0.014533679625208908,0.3026416174418103,0.19746803850997768,0.4848858820624316,0.3387547087567171,-0.22063707956776493,0.08454958539224425,0.2218739067294664,0.13560205142545165,0.08312788233592155,0.04948239910201052,0.02789378206307131,0.01564225736933454
