iter,name,annual_return,annual_vol,cagr,sharpe,sortino,max_drawdown,calmar,avg_turnover,crra_ce_annual,crra_ce_annual_se,sharpe_se,accepted
0,baseline,0.03613459083028984,0.08062640241411191,0.033468112101813496,0.21408245394957637,0.3383683663410906,-0.2673586648874031,0.16283789002509366,0.07480218954955863,0.019687692870519902,0.005737089032950197,0.06350861979827394,True
1,01 narrative_weight=2.0,0.036680461402431565,0.08026932456285991,0.0340507038218224,0.21994228898550086,0.34448860720091923,-0.26564265587045083,0.1652378686713896,0.07919176694117112,0.020462219121557084,0.005257170935315963,0.059017732710398764,True
2,02 mu_shrinkage=0.4,0.03576493569046508,0.07917071638232431,0.03315049189767908,0.2134583891921992,0.33544992637250526,-0.27601790391132874,0.1520026336961021,0.06479928730023368,0.01980550818922371,0.005067425134256346,0.0569228335528184,False
3,03 max_weight=0.50,0.03660043719579257,0.08769804642096429,0.03334739589753899,0.20600629103620458,0.32641147911311286,-0.2958752150247585,0.1527379233788288,0.07477041205353493,0.017028345516345172,0.006487289888771496,0.0645664327167788,False
4,04 max_weight=0.40,0.03763772307690959,0.09626009816137908,0.033618988259756226,0.20150096609446674,0.31802756999345416,-0.3260463313968191,0.1407906342608848,0.07336652242961708,0.013919196465284658,0.0074360139294067235,0.06454644641868341,False
5,05 weight_inertia=0.85,0.03653095551376346,0.08028105225841574,0.03389878254348309,0.2203541314980123,0.3477102617011704,-0.26479627028525016,0.1659990939322008,0.04592672668573514,0.02022936299410702,0.005632942426190269,0.06282208354433207,False
6,06 weight_inertia=0.55,0.03593019875692142,0.08088636678202014,0.0332389076207932,0.21074712408331173,0.33308040198578653,-0.26980827215152786,0.15984548030624432,0.10563499991552579,0.01937332711152313,0.005793575018201223,0.0638258609359969,False
7,07 min_cash_equiv=0.05,0.036185199970913365,0.08038644709181837,0.033541692648486686,0.21479188556774,0.33950968237017837,-0.2656606870378763,0.16333098802420684,0.07444988542415722,0.019856904625088156,0.005686068270197586,0.06335061989170683,False
8,08 min_cash_equiv=0.10,0.03623632382552896,0.08010699950050056,0.03361869763381533,0.21560119273767162,0.34095426775772014,-0.264016755417197,0.16380775573569092,0.0739318200929385,0.020040452832082233,0.005630331852425273,0.06322652803087228,False
9,09 LW shrinkage (alpha=0.2),0.036025681418197,0.07239457456267855,0.033967563403392444,0.2304323378899986,0.3537126295042796,-0.23167821039467892,0.18271625034542036,0.0641597471811592,0.022839876319657625,0.004400555859752807,0.05602821740264899,True
10,10 Regime-specific gamma,0.036025681418197,0.07239457456267855,0.03396756340339243,0.23043233788999853,0.35371262950427956,-0.23167821039467884,0.18271625034542036,0.0641597471811592,0.022839876319657625,0.004400555859752807,0.056028217402649,True
11,11 Entropy-confidence blend,0.03645204940339611,0.07373903801455096,0.034300271236977965,0.2336556281334986,0.35775851108752144,-0.2358909148562995,0.1805337658701184,0.06673461389230835,0.022724561183019427,0.004519879750118455,0.05545687174382427,False
12,12 Momentum overlay (0.08),0.03687305812716956,0.07703662339897667,0.03450127409746082,0.22616028137869024,0.3432047848118645,-0.23926101151299037,0.1695691640191241,0.08873121513858069,0.02191149027900881,0.004679224977890704,0.05695049442261752,False
13,13 Momentum strength=0.15,0.03758294389992242,0.08402244288388672,0.034667785141682096,0.21475948258839947,0.32182103940198187,-0.2576663796633092,0.1561429337626194,0.11267673717908457,0.019670517517207026,0.005011455920269898,0.05660324585315641,False
14,14 Vol targeting (10% annual),0.03660045541548406,0.07057417075605371,0.034697177356237764,0.2416654408981234,0.37288368501093694,-0.21296105105076543,0.19670666136852713,0.06206642058134989,0.024217660989774403,0.003889887547257187,0.053667576516678764,True
15,15 Vol targeting (8% annual),0.03663842862182274,0.06899776859498304,0.03485283293533966,0.24689019512071905,0.38348259070204743,-0.2026987498888407,0.20428887633525586,0.060607080579278515,0.024869700190140676,0.003749296434476295,0.05343361140728873,True
16,16 CVaR cap (max=0.14),0.03663842862182274,0.06899776859498304,0.03485283293533966,0.24689019512071905,0.38348259070204743,-0.2026987498888407,0.20428887633525586,0.060607080579278515,0.024869700190140676,0.003749296434476295,0.05343361140728873,False
17,17 RP blend alpha=0.3,0.03687980805413064,0.07236734489774162,0.03487071838289355,0.2407870665989932,0.37421070864285433,-0.2194798973902041,0.18863726570700678,0.04788285045986976,0.023900409294078755,0.004178739240910901,0.05580921035586526,False
