snr,strategy,annual_return,annual_vol,cagr,sharpe,sortino,max_drawdown,calmar,avg_turnover,crra_ce_annual,accuracy
0.25,NarrativeRegimes,0.02241213879596548,0.10430220194767083,0.017135112694733445,0.023126441732991058,0.03672740732531741,-0.34895983569277844,0.04910339512487353,0.7565141793230323,-0.004651911453916524,0.41358024691358025
0.25,RegimeOnly,0.030720735422402327,0.08601910306114445,0.027351776813709705,0.12463202987343135,0.18445112144086417,-0.34910870392248317,0.07834745025372657,0.3970635198085938,0.011943523950957768,0.5432098765432098
0.25,NarrativeRegimes,0.023835783383286818,0.08187387400680468,0.02068513575648101,0.04684990700413198,0.07508563556206452,-0.30104924282433665,0.06871014044885296,0.5240116279297456,0.007035745124349901,0.37037037037037035
0.25,RegimeOnly,0.04178754913902201,0.08294625028670884,0.03904144028688883,0.26267069413881877,0.4145946924360076,-0.32475318290098,0.12021880721271605,0.4989084344511261,0.024812001663312655,0.06172839506172839
0.25,NarrativeRegimes,0.02651426848741722,0.0955578891211945,0.0221605121291919,0.06817091238961212,0.09943242138882817,-0.29390491734498225,0.07540027682891791,0.7130828518336002,0.003205231239698403,0.4691358024691358
0.25,RegimeOnly,0.025439380085517146,0.08406009587427411,0.02212782329931562,0.06470823080731011,0.09591137660265685,-0.26204924536421814,0.08444146926872659,0.294313473407774,0.007585343266798716,0.08333333333333333
0.25,NarrativeRegimes,0.034257360452766575,0.08671045698150752,0.03092748406732193,0.16442492577114654,0.24050453460014204,-0.25182862628154523,0.12281162997230069,0.2867829117386548,0.015303434007626793,0.3271604938271605
0.25,RegimeOnly,0.03530273703041306,0.09250204508747618,0.03145370703089001,0.16543133739304636,0.2342400310693597,-0.31946605372803905,0.09845711825665991,0.19354145857200994,0.013404127496392748,0.11419753086419752
0.25,NarrativeRegimes,0.03882171807668375,0.07583483791988856,0.036561581994681625,0.24819355579775731,0.391396095839816,-0.27064526735733596,0.1350904168828822,0.5979590356149037,0.024777173252681806,0.4537037037037037
0.25,RegimeOnly,0.03974346001940927,0.07109351707109318,0.03786884474192509,0.2777111167487451,0.4345287718212051,-0.30672773723540725,0.12346077691976558,0.5277771848241238,0.02743266478499473,0.2839506172839506
0.25,NarrativeRegimes,0.037713215537897304,0.09557962845700212,0.03371019104348738,0.18532417235609835,0.32296286044430655,-0.24997125710174373,0.13485626881400448,0.440489470629225,0.01547363055771278,0.49691358024691357
0.25,RegimeOnly,0.04816575631011183,0.0885416105701464,0.045200353155449235,0.31810756692524494,0.5511956544635868,-0.13336728189891534,0.33891635573489814,0.13320672480238738,0.029307615145779176,0.4691358024691358
0.25,NarrativeRegimes,0.0093442028638791,0.08517442093947972,0.00570615741525371,-0.125105601172121,-0.17223577149567498,-0.46651875543508947,0.012231356936404357,0.4050754795836067,-0.009351092291443819,0.4166666666666667
0.25,RegimeOnly,0.010673542126663367,0.08396408711714957,0.007097614527454166,-0.11107674951939918,-0.14022030121845006,-0.36566904181710824,0.019409941000704357,0.37269236593885496,-0.00846434451143141,0.6203703703703703
0.25,NarrativeRegimes,0.01750304921160001,0.08700280303210976,0.01379952602246437,-0.028699659107287032,-0.04144376305864276,-0.24251380482965834,0.05690202267931574,0.6292515984887768,-0.0017317282099374998,0.4074074074074074
0.25,RegimeOnly,0.018543134520462155,0.10345836142548673,0.013253564269223528,-0.014081660094598707,-0.019523360616524803,-0.36054263596356273,0.03676004707127887,0.5924861662963481,-0.00891932800737405,0.25925925925925924
0.25,NarrativeRegimes,0.0438870998307649,0.06769321954006412,0.04241687204749223,0.3528728577701546,0.5846963669601435,-0.25178292607682173,0.16846603821956685,0.3400867149398982,0.033029310607477935,0.595679012345679
0.25,RegimeOnly,0.040040966176552395,0.0735551293830854,0.0380019384620387,0.2724618438528772,0.447520180582702,-0.2664543320238959,0.14262083177026616,0.14769480906935684,0.026955641859230273,0.6697530864197531
0.25,NarrativeRegimes,0.0348156747810213,0.10185392049911875,0.030057498313287745,0.14546003441418326,0.22105108588448188,-0.3222320562218026,0.09327904450511344,0.813203810379746,0.00887614979842044,0.26851851851851855
0.25,RegimeOnly,0.02995854059339497,0.08855047620559763,0.02635898477215526,0.11246173956504878,0.16864789447606954,-0.23233486547630344,0.11345255787639713,0.6667080136698543,0.01027146030848236,0.13271604938271606
0.25,NarrativeRegimes,0.03896315029769061,0.10017122659009743,0.03451598174582049,0.1893073584422419,0.3087236624582394,-0.37318460513671514,0.0924903687631371,0.9461410940150824,0.014147960538184678,0.404320987654321
0.25,RegimeOnly,0.047820206966732864,0.08809141329727972,0.044842525677838196,0.31581065537964237,0.4646394710299401,-0.2706808146871166,0.16566569643907805,0.40054286001534345,0.028577923742186817,0.42901234567901236
0.25,NarrativeRegimes,0.008984051148784256,0.1030500585805822,0.003626540687039048,-0.10689900620096772,-0.138516053916162,-0.4585627017766942,0.007908494679109469,0.7743806572844202,-0.018539777724224882,0.4166666666666667
0.25,RegimeOnly,0.039170665390755324,0.08556897596566981,0.03609677803805833,0.22403756939251637,0.31522837774802287,-0.32607512808895,0.11070080152881667,0.34912189755005385,0.0208289914861135,0.1697530864197531
0.25,NarrativeRegimes,0.01765725862522959,0.07174307870462912,0.015189964954508639,-0.03265459772664105,-0.048494883488068144,-0.31772154366289895,0.04780904933102402,0.42058323942384984,0.004690741332712189,0.19753086419753085
0.25,RegimeOnly,0.022256721767429682,0.07175618144270382,0.019868303900544726,0.03144985870285805,0.045483671552985626,-0.29967338617114336,0.06629986117351758,0.22493709650699642,0.009380129075353905,0.1111111111111111
0.25,NarrativeRegimes,0.041853705782010094,0.07091362601782492,0.040075637366463024,0.30817357691618985,0.4990607410909136,-0.13912193667501283,0.28806123839462666,0.5328168482881637,0.029779049115912004,0.35185185185185186
