tc_bps,strategy,annual_return,annual_vol,cagr,sharpe,sortino,max_drawdown,calmar,avg_turnover,crra_ce_annual
0,NarrativeRegimes,0.07770217185814993,0.0725765873174502,0.07772757794073759,0.7950521509885887,1.2663949097227876,-0.14134348455304568,0.5499197800770698,0.3684421397090842,0.06650426958547584
0,RiskParity,0.07930714272730337,0.08262324576169136,0.07854529416803069,0.7178021412806974,0.9399501070588793,-0.19749674457549904,0.397704247413579,0.030471342774427763,0.0627424901272664
0,SixtyForty,0.10232852035406323,0.11501964428148939,0.09992069062224984,0.7157779079248353,0.9896966204941278,-0.28898446694207225,0.3457649183693988,0.024380345938676842,0.06813339560832388
0,NarrativeRegimes,0.03567294237014068,0.07231366597749393,0.033565449141881754,0.21673555279327897,0.3105813930967074,-0.14989204905054898,0.22393081790857552,0.19255219981347343,0.02267593159479775
0,RiskParity,0.03063836213162502,0.08728365841784223,0.02713891879502217,0.12188263329542522,0.1668147580422657,-0.25329350707058274,0.10714415505115828,0.03258932794741757,0.011048232717043804
0,SixtyForty,0.022387317377368033,0.12696007244779262,0.014296613463478103,0.01880368631917506,0.02552554123216524,-0.43499149853833874,0.03286642040480717,0.02823008974638293,-0.020350570713320804
0,NarrativeRegimes,0.0464989809539884,0.06783230079976792,0.045109480601244645,0.39065431426555786,0.591417477571955,-0.1693764424404396,0.26632676865383553,0.04786528364589787,0.03546246899505889
0,RiskParity,0.04453991525827878,0.08424379854507667,0.04175669376939162,0.29129640023470804,0.4065344093973275,-0.20018411517339274,0.208591444597007,0.03261061009640106,0.026645379361852628
0,SixtyForty,0.05338296557340285,0.11670502460439205,0.047475109363551926,0.2860456581588049,0.3643480313734005,-0.313659815417371,0.15135859625619955,0.026118341315333513,0.017113506565404224
0,NarrativeRegimes,0.06000012734608401,0.0893942217905366,0.05748729701054622,0.4474576381436599,0.7016815079068939,-0.15697165102323818,0.3662272559140999,0.11332168476558245,0.04073429553666341
0,RiskParity,0.05140277979732691,0.08375597945299944,0.048969875794886875,0.3749317959435828,0.5453846412151452,-0.20502611101237278,0.23884702076767028,0.03153765288132585,0.03422175440648134
0,SixtyForty,0.06523385034506778,0.11411968555524264,0.06032007753183111,0.39637202052376086,0.5743348544282376,-0.2846869147911084,0.21188215684620246,0.025113691161858485,0.032257192532504364
0,NarrativeRegimes,0.037783062721160096,0.09006289011532037,0.03421284540737646,0.1974516107398941,0.25702771246136596,-0.2807097455330353,0.12187979203361902,0.6906709016139249,0.016689443275170524
0,RiskParity,0.03619738909387124,0.08579516691958727,0.03299686484837072,0.1887913932151035,0.27235767261726407,-0.23286130015772954,0.14170179770541588,0.03203995852149463,0.017551834118707976
0,SixtyForty,0.03476143446831735,0.11894183767927324,0.027983188222187705,0.12410632588443413,0.17238019155714834,-0.36192992047460226,0.07731659263067578,0.026474691632897906,-0.0020226053469265537
0,NarrativeRegimes,0.04154184545402702,0.0797873198277686,0.039041401114256136,0.2699908394031522,0.38395525888449766,-0.22762794455182978,0.17151409591262465,0.40746974249662754,0.025707834921506523
0,RiskParity,0.029358080465167684,0.0874402199562042,0.025820118018372806,0.10702260893047641,0.14999023170153883,-0.3884110409604483,0.0664762720300787,0.03392608776934721,0.009796723323549417
0,SixtyForty,0.02271380443618672,0.12146271025525632,0.01533928287119557,0.022342696210907887,0.029329191282746154,-0.5426080190858271,0.0282695469503728,0.027967460459505582,-0.01628902411151323
0,NarrativeRegimes,0.037423084437582854,0.07890628472664755,0.03488595127114502,0.2208073095564069,0.35718848624669114,-0.25118405744699357,0.13888600903147236,0.16669685334732728,0.022310421952072668
0,RiskParity,0.04278551201699191,0.0852694457273148,0.0398907164699589,0.26721778032729615,0.4210778773565234,-0.22835960400276334,0.1746837696805438,0.034533594839548716,0.025049714835134962
0,SixtyForty,0.043484383162282675,0.11831890443113949,0.037104578581394376,0.1984837780166428,0.2970993732064403,-0.35643892951751566,0.10409799690404196,0.02659495555241601,0.007917574175228204
0,NarrativeRegimes,0.04406493178784526,0.07962297748894731,0.04169659772153533,0.30223601963623853,0.5024711690946846,-0.1852327864830695,0.22510376544676367,0.042684120561113544,0.02873422112530455
0,RiskParity,0.03855496646832164,0.09122983522206718,0.03494348721572882,0.20338704353850964,0.28741123515641476,-0.20126879334097625,0.17361602181680436,0.03280696439144998,0.017567171364171408
0,SixtyForty,0.04394876185557485,0.12974474283313756,0.03611942621555797,0.1845836781716461,0.26576899059305914,-0.33760540311637033,0.10698710945425197,0.02769089220647931,0.0009771333377135427
