risk_aversion,strategy,annual_return,annual_vol,cagr,sharpe,sortino,max_drawdown,calmar,avg_turnover,crra_ce_annual
2,NarrativeRegimes,0.055585985748243166,0.0736719997185241,0.05420175983094433,0.4830327109920354,0.8820188803078949,-0.10315580842598537,0.5254358494978425,0.1224878434740066,0.05139290269418573
2,SixtyForty,0.06164403462958675,0.10350783021899451,0.05780360837838883,0.4023273847155259,0.7011149696082631,-0.17472107837249995,0.33083362875744915,0.024204489378074567,0.052212647196815176
2,RiskParity,0.05261919770122652,0.07303559209823549,0.05113042985026928,0.44662056901452274,0.7519026814892789,-0.10319591296415154,0.4954695237594448,0.030054854595086947,0.048358151772738056
2,NarrativeRegimes,0.019243252995084004,0.06701607771722591,0.017139929991653702,-0.011292021716178121,-0.017564895926128653,-0.3240004367220479,0.05290094718717194,0.06238001522037898,0.014868471610926637
2,SixtyForty,0.023851847443727127,0.1126962540274548,0.01764997304764182,0.03417901932027612,0.05072602886594054,-0.4392949286108925,0.04017795767288578,0.02608516443678273,0.01119086233630795
2,RiskParity,0.02572690513384949,0.08196404718834863,0.022611667908611688,0.06987094134931368,0.10420225684935312,-0.3193706550726746,0.07080070616840572,0.032206865242950425,0.019194244014715034
2,NarrativeRegimes,0.0519403317089327,0.06941877290634305,0.050678126272578394,0.4601108658608137,0.675043924492012,-0.20382881811409537,0.2486308204181941,0.090045668312695,0.04815420858724151
2,SixtyForty,0.062002546019069835,0.10956218629005894,0.05739459556781057,0.3833671765902037,0.5144581063061356,-0.3447564271806629,0.16647868188323592,0.025434989725992754,0.05089418591775274
2,RiskParity,0.052547483273321025,0.07918573551821805,0.05053857130760919,0.4110271005291465,0.5619181481958013,-0.24635875481700953,0.20514217708702195,0.031432393839238126,0.04721889396071344
2,NarrativeRegimes,0.04893598776499595,0.06967810059149218,0.04753202214233654,0.4152809493852517,0.7041145999961516,-0.20821152621344374,0.2282871799018949,0.06014019809630932,0.045021435163656864
2,SixtyForty,0.04785349803384861,0.12204594800967082,0.041140791904730856,0.2282214074951633,0.3225949633972058,-0.5271800048707733,0.07803936326229904,0.02657151114937575,0.0333284994666192
2,RiskParity,0.04758553469753788,0.08566648828812311,0.04482377720701414,0.3220108031597971,0.4866156590917396,-0.298573186257308,0.150126599675248,0.03238978555919739,0.04100716652136449
2,NarrativeRegimes,0.04317921843588579,0.0706813817576021,0.041461902766739556,0.3279395204153993,0.5524370456460805,-0.13936123922202182,0.2975138783079059,0.045605152504273355,0.038881412227123935
2,SixtyForty,0.04965568194876355,0.10678032333011185,0.04485616659650438,0.27772609244760266,0.4233002659771992,-0.299301424070164,0.14986953949804438,0.024925902573370504,0.038900505199460866
2,RiskParity,0.04419630203361231,0.07707951433037609,0.04202442992748501,0.3139135248037862,0.48749096063183545,-0.24286049747070182,0.17303938007684738,0.03047796037416684,0.03894351430865206
2,NarrativeRegimes,0.033554111866806346,0.07822914534013908,0.030937769317691544,0.17326166364049206,0.2653235588959533,-0.18937446694968418,0.16336821862005055,0.08229789577310108,0.02780355127612788
2,SixtyForty,0.0362751385782471,0.10367912489761764,0.03136333249445733,0.15697604116854455,0.24836071407242752,-0.27244612067509866,0.11511755945264195,0.025185956094963807,0.02585516776825414
2,RiskParity,0.03472902084247586,0.07507196286875575,0.03239385066843825,0.19619869095771217,0.3144791179371153,-0.1738366189061764,0.18634652970282373,0.032154668257904764,0.029501958919271987
2,NarrativeRegimes,0.042481153448316135,0.06918612440704441,0.040847310930897995,0.324937314251803,0.4891509549866298,-0.26774220087600253,0.15256209442237054,0.10900465396692374,0.03837884504959055
2,SixtyForty,0.04852495309060706,0.1140506002725668,0.042818944264136904,0.2501078733688025,0.3641588458336583,-0.36481739904965427,0.11737089397512245,0.02645974269939841,0.03598121679691535
2,RiskParity,0.051906447913175544,0.08073918478087165,0.04976466931230061,0.39517921811782597,0.6254223575081004,-0.2178812581820131,0.228402707637792,0.03326014399235458,0.04637140510365123
2,NarrativeRegimes,0.024122290032821105,0.09480892582225922,0.019702397286044837,0.04347997825172354,0.04907479621550141,-0.4554701306757766,0.043257276293425836,0.1086701191402954,0.01489610177742895
